track_id,audio_path,key_label
20013,fmak_wav/020/020013.wav,A minor
20033,fmak_wav/020/020033.wav,G# Major
20044,fmak_wav/020/020044.wav,F Major
20052,fmak_wav/020/020052.wav,D Major
20053,fmak_wav/020/020053.wav,C minor
20055,fmak_wav/020/020055.wav,C Major
20123,fmak_wav/020/020123.wav,D Major
20124,fmak_wav/020/020124.wav,G minor
20129,fmak_wav/020/020129.wav,A Major
20152,fmak_wav/020/020152.wav,B Major
20206,fmak_wav/020/020206.wav,G# Major
20210,fmak_wav/020/020210.wav,C Major
20227,fmak_wav/020/020227.wav,E Major
20229,fmak_wav/020/020229.wav,E minor
20230,fmak_wav/020/020230.wav,E minor
20256,fmak_wav/020/020256.wav,D# Major
20263,fmak_wav/020/020263.wav,A Major
20265,fmak_wav/020/020265.wav,A Major
20266,fmak_wav/020/020266.wav,G Major
20432,fmak_wav/020/020432.wav,E minor
20434,fmak_wav/020/020434.wav,D# Major
20565,fmak_wav/020/020565.wav,G Major
20690,fmak_wav/020/020690.wav,F minor
20761,fmak_wav/020/020761.wav,D# minor
20824,fmak_wav/020/020824.wav,C Major
20826,fmak_wav/020/020826.wav,F# minor
21011,fmak_wav/021/021011.wav,A minor
21014,fmak_wav/021/021014.wav,D minor
21064,fmak_wav/021/021064.wav,F minor
21065,fmak_wav/021/021065.wav,F minor
21083,fmak_wav/021/021083.wav,C Major
21084,fmak_wav/021/021084.wav,A Major
21085,fmak_wav/021/021085.wav,A Major
21086,fmak_wav/021/021086.wav,E Major
21100,fmak_wav/021/021100.wav,D# minor
21189,fmak_wav/021/021189.wav,F Major
21202,fmak_wav/021/021202.wav,D Major
21220,fmak_wav/021/021220.wav,D# Major
21260,fmak_wav/021/021260.wav,G minor
21298,fmak_wav/021/021298.wav,G Major
21302,fmak_wav/021/021302.wav,E Major
21368,fmak_wav/021/021368.wav,F Major
21378,fmak_wav/021/021378.wav,D minor
21379,fmak_wav/021/021379.wav,F# Major
21381,fmak_wav/021/021381.wav,G minor
21553,fmak_wav/021/021553.wav,G Major
21555,fmak_wav/021/021555.wav,A minor
21556,fmak_wav/021/021556.wav,G# minor
21557,fmak_wav/021/021557.wav,Bb Major
21559,fmak_wav/021/021559.wav,C# minor
21617,fmak_wav/021/021617.wav,C Major
21820,fmak_wav/021/021820.wav,G minor
21823,fmak_wav/021/021823.wav,C Major
21826,fmak_wav/021/021826.wav,F minor
21827,fmak_wav/021/021827.wav,D Major
21828,fmak_wav/021/021828.wav,B minor
21829,fmak_wav/021/021829.wav,C Major
21831,fmak_wav/021/021831.wav,E minor
21834,fmak_wav/021/021834.wav,F minor
21859,fmak_wav/021/021859.wav,C minor
21860,fmak_wav/021/021860.wav,G minor
21961,fmak_wav/021/021961.wav,E Major
22058,fmak_wav/022/022058.wav,Bb Major
22059,fmak_wav/022/022059.wav,A Major
22060,fmak_wav/022/022060.wav,F# Major
22061,fmak_wav/022/022061.wav,Bb Major
22062,fmak_wav/022/022062.wav,E minor
22097,fmak_wav/022/022097.wav,C minor
22195,fmak_wav/022/022195.wav,C Major
22284,fmak_wav/022/022284.wav,C# Major
22285,fmak_wav/022/022285.wav,C# Major
22295,fmak_wav/022/022295.wav,C# minor
22311,fmak_wav/022/022311.wav,C minor
22317,fmak_wav/022/022317.wav,E minor
22318,fmak_wav/022/022318.wav,F minor
22319,fmak_wav/022/022319.wav,G Major
22322,fmak_wav/022/022322.wav,C# minor
22323,fmak_wav/022/022323.wav,E minor
22328,fmak_wav/022/022328.wav,D# minor
22453,fmak_wav/022/022453.wav,A minor
22556,fmak_wav/022/022556.wav,D Major
22562,fmak_wav/022/022562.wav,F Major
22563,fmak_wav/022/022563.wav,G Major
22576,fmak_wav/022/022576.wav,D minor
22943,fmak_wav/022/022943.wav,B Major
22954,fmak_wav/022/022954.wav,A minor
22974,fmak_wav/022/022974.wav,D minor
22996,fmak_wav/022/022996.wav,A minor
22997,fmak_wav/022/022997.wav,F# Major
23011,fmak_wav/023/023011.wav,A minor
23014,fmak_wav/023/023014.wav,G minor
23015,fmak_wav/023/023015.wav,E Major
23025,fmak_wav/023/023025.wav,G Major
23026,fmak_wav/023/023026.wav,D# Major
23059,fmak_wav/023/023059.wav,D Major
23060,fmak_wav/023/023060.wav,E Major
23096,fmak_wav/023/023096.wav,D Major
23107,fmak_wav/023/023107.wav,E minor
23108,fmak_wav/023/023108.wav,E minor
23172,fmak_wav/023/023172.wav,A minor
23173,fmak_wav/023/023173.wav,A Major
23177,fmak_wav/023/023177.wav,E minor
23181,fmak_wav/023/023181.wav,A minor
23338,fmak_wav/023/023338.wav,B Major
23339,fmak_wav/023/023339.wav,F# Major
23340,fmak_wav/023/023340.wav,D Major
23341,fmak_wav/023/023341.wav,B Major
23342,fmak_wav/023/023342.wav,G Major
23370,fmak_wav/023/023370.wav,Bb Major
23371,fmak_wav/023/023371.wav,D# minor
23797,fmak_wav/023/023797.wav,C minor
23800,fmak_wav/023/023800.wav,A minor
23808,fmak_wav/023/023808.wav,D# minor
23851,fmak_wav/023/023851.wav,A Major
23856,fmak_wav/023/023856.wav,C minor
23857,fmak_wav/023/023857.wav,F minor
23859,fmak_wav/023/023859.wav,F minor
23861,fmak_wav/023/023861.wav,F# minor
23862,fmak_wav/023/023862.wav,C minor
23888,fmak_wav/023/023888.wav,E minor
24014,fmak_wav/024/024014.wav,B minor
